legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
5d3c26fc4c9818ec53eae56b9bfe00a0,2022-04-16,2022-04-17,ATL,DTW,KA0OX0MC,PT4H3M,0,FALSE,FALSE,FALSE,602.79,671.6,5,726,1650194100||1650204780,2022-04-17T07:15:00.000-04:00||2022-04-17T10:13:00.000-04:00,1650199800||1650208680,2022-04-17T08:50:00.000-04:00||2022-04-17T11:18:00.000-04:00,PIT||DTW,ATL||PIT,Delta||Delta,DL||DL,Airbus A321||Canadair Regional Jet 900,5700||3900,528||198,coach||coach
2de4d08a9dfbbc7ca74124ab5e6fbc9b,2022-04-16,2022-04-17,ATL,DTW,KA0NA0MC,PT4H50M,0,FALSE,FALSE,FALSE,669.76,743.59,9,1331,1650228960||1650239940,2022-04-17T16:56:00.000-04:00||2022-04-17T18:59:00.000-05:00,1650236760||1650246360,2022-04-17T18:06:00.000-05:00||2022-04-17T21:46:00.000-04:00,MCI||DTW,ATL||MCI,Delta||Delta,DL||DL,Airbus A320||Boeing 717,7800||6420,693||638,coach||coach
df5b89b027434570109bb6ad600f206b,2022-04-16,2022-04-17,ATL,DTW,QA0QA0MQ,PT8H42M,0,FALSE,FALSE,FALSE,667.91,747.2,7,622,1650197400||1650222060,2022-04-17T08:10:00.000-04:00||2022-04-17T15:01:00.000-04:00,1650200280||1650228720,2022-04-17T08:58:00.000-04:00||2022-04-17T16:52:00.000-04:00,CHA||DTW,ATL||CHA,Delta||Delta,DL||DL,Boeing 717||Canadair Regional Jet,2880||6660,107||515,coach||coach
67d4f486988230e5cc593b41a143c74f,2022-04-16,2022-04-17,ATL,DTW,KA0OX0MC,PT11H1M,0,FALSE,FALSE,FALSE,702.28,787.55,1,782,1650201300||1650214920||1650219780||1650235500,2022-04-17T09:15:00.000-04:00||2022-04-17T12:02:00.000-05:00||2022-04-17T13:23:00.000-05:00||2022-04-17T17:45:00.000-05:00,1650205080||1650218580||1650224400||1650240960,2022-04-17T09:18:00.000-05:00||2022-04-17T13:03:00.000-05:00||2022-04-17T14:40:00.000-05:00||2022-04-17T20:16:00.000-04:00,BNA||OWB||STL||DTW,ATL||BNA||OWB||STL,Delta||Cape Air||Cape Air||Delta,DL||9K||9K||DL,Boeing 737-900||Tecnam P2012 Traveler||Tecnam P2012 Traveler||Canadair Regional Jet 900,3780||3660||4620||5460,215||116||187||451,coach||coach||coach||coach
b84522566b0827eae3b7472b16457b4c,2022-04-16,2022-04-17,ATL,DTW,HA0QA0MQ,PT3H18M,0,FALSE,FALSE,FALSE,714.42,791.6,6,610,1650200700||1650207600,2022-04-17T09:05:00.000-04:00||2022-04-17T11:00:00.000-04:00,1650204900||1650212580,2022-04-17T10:15:00.000-04:00||2022-04-17T12:23:00.000-04:00,LEX||DTW,ATL||LEX,Delta||Delta,DL||DL,Embraer 170||Embraer 170,4200||4980,305||305,coach||coach
b079e567d6d6bdcbed82af4b06d05c0e,2022-04-16,2022-04-17,ATL,DTW,HA0QA0MQ,PT5H27M,0,FALSE,FALSE,FALSE,714.42,791.6,9,610,1650204660||1650219240,2022-04-17T10:11:00.000-04:00||2022-04-17T14:14:00.000-04:00,1650209160||1650224280,2022-04-17T11:26:00.000-04:00||2022-04-17T15:38:00.000-04:00,LEX||DTW,ATL||LEX,Delta||Delta,DL||DL,Boeing 717||Canadair Regional Jet 900,4500||5040,305||305,coach||coach
c8c72375687e2528c2ed7e686e785d86,2022-04-16,2022-04-17,ATL,DTW,HA0QA0MQ,PT6H33M,0,FALSE,FALSE,FALSE,714.42,791.6,9,610,1650200700||1650219240,2022-04-17T09:05:00.000-04:00||2022-04-17T14:14:00.000-04:00,1650204900||1650224280,2022-04-17T10:15:00.000-04:00||2022-04-17T15:38:00.000-04:00,LEX||DTW,ATL||LEX,Delta||Delta,DL||DL,Embraer 170||Canadair Regional Jet 900,4200||5040,305||305,coach||coach
97a100c46442e1d44b9a347e07124f01,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT5H12M,0,FALSE,FALSE,FALSE,760.93,841.6,9,769,1650221100||1650233700,2022-04-17T14:45:00.000-04:00||2022-04-17T18:15:00.000-04:00,1650225540||1650239820,2022-04-17T15:59:00.000-04:00||2022-04-17T19:57:00.000-04:00,GSO||DTW,ATL||GSO,Delta||Delta,DL||DL,Boeing 737-900||Canadair Regional Jet 900,4440||6120,306||463,coach||coach
868fd01e9ffa04f193a6e940f279c9d2,2022-04-16,2022-04-17,ATL,DTW,HA0QA0MQ,PT9H56M,1,FALSE,FALSE,FALSE,760.93,847.2,9,1037,1650247080||1650277800,2022-04-17T21:58:00.000-04:00||2022-04-18T06:30:00.000-04:00,1650254640||1650282840,2022-04-18T00:04:00.000-04:00||2022-04-18T07:54:00.000-04:00,ROC||DTW,ATL||ROC,Delta||Delta,DL||DL,Airbus A320||Canadair Regional Jet 900,7560||5040,751||286,coach||coach
4dea8b28c86f62d3734944db70a18f5b,2022-04-16,2022-04-17,ATL,EWR,VNR,PT2H3M,0,FALSE,FALSE,TRUE,101,157.59,0,,1650242220,2022-04-17T20:37:00.000-04:00,1650249600,2022-04-17T22:40:00.000-04:00,EWR,ATL,Spirit Airlines,NK,AIRBUS INDUSTRIE A321 SHARKLETS,7380,None,coach
